author,place of birth,pob_Latitude,pob_Longitude,country of citizenship,coc_Latitude,coc_Longitude,authorLabel,work,workTitle
,,,,Canada,56,-109,,,
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124959668,"Tout le monde vous aime, monsieur Salim"
Melchior Mbonimpa,Burundi,-3.666667,29.816667,Canada,56,-109,Melchior Mbonimpa,http://www.wikidata.org/entity/Q124959892,La Tribu de Sangwa
Pierre Antoine,Geneva,46.2,6.15,Canada,56,-109,Pierre Antoine,http://www.wikidata.org/entity/Q124959894,L'âne qui ne brayait plus
Jean-Yves Jetzer,Geneva,46.2,6.15,Canada,56,-109,Jean-Yves Jetzer,http://www.wikidata.org/entity/Q124959894,L'âne qui ne brayait plus
Daniel Soha,Aix-en-Provence,43.527777777778,5.4455555555556,France,47,2,Daniel Soha,http://www.wikidata.org/entity/Q124959717,La Maison
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124959614,L'Île-au-Crâne de Shediac
,,,,France,47,2,,,
François Dimberton,Villeneuve-Saint-Georges,48.7325,2.4497222222222,France,47,2,François Dimberton,http://www.wikidata.org/entity/Q124959718,La Maison de Coin-Coin
Ken Brown,Enfield,51.65222222222222,-0.08083333333333333,United Kingdom,54.6,-2,Ken Brown,http://www.wikidata.org/entity/Q124959691,Cow-Boy Poétré
Jean-Claude Bauer,Haillicourt,50.476111111111,2.5847222222222,France,47,2,Jean-Claude Bauer,http://www.wikidata.org/entity/Q124959718,La Maison de Coin-Coin
Ivan Vanhecke,Belgium,50.641111111111,4.6680555555556,Belgium,50.641111111111,4.6680555555556,Ivan Vanhecke,http://www.wikidata.org/entity/Q124959682,Blanc-Bec et Anthracite
David Baudemont,Thann,47.806666666667,7.1044444444444,Canada,56,-109,David Baudemont,http://www.wikidata.org/entity/Q124959687,Citrouille et Kiwi
Claire Silvera Rochon,Ottawa,45.424722222222,-75.695,France,47,2,Claire Silvera Rochon,http://www.wikidata.org/entity/Q124959954,Concerto pour des images
,,,,Canada,56,-109,,,
Jean-Claude Masson,Liège,50.639722222222225,5.570555555555556,Belgium,50.641111111111,4.6680555555556,Jean-Claude Masson,http://www.wikidata.org/entity/Q124960125,Les Chats du Père-Lachaise
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124959896,Le Bateau fantôme de Petit-Rocher
,,,,France,47,2,,,
Paul Roux,Marseille,43.296666666667,5.3763888888889,Canada,56,-109,Paul Roux,http://www.wikidata.org/entity/Q124959914,Petit Tout-le-Monde
,,,,France,47,2,,,
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124959927,Soudain l'étrangeté
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124959721,La Nuit du subjonctif
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124960122,La Chambre à mourir
,,,,Canada,56,-109,,,
Claude Lévi-Strauss,City of Brussels,50.846666666666664,4.351666666666667,France,47,2,Claude Lévi-Strauss,http://www.wikidata.org/entity/Q124959957,Corbeau vole la lumière
,,,,Belgium,50.641111111111,4.6680555555556,,,
Monique Genuist,Lorraine,48.6,6.4872222222222,France,47,2,Monique Genuist,http://www.wikidata.org/entity/Q124959725,La Ruée vers l'Ouest
,,,,Canada,56,-109,,,
Pierre Lardon,Lyon,45.7675,4.835,France,47,2,Pierre Lardon,http://www.wikidata.org/entity/Q124959917,Poésies choisies
,,,,Canada,56,-109,,,
Guy Armel Bayegnak,Cameroon,5.133333333333334,12.65,Canada,56,-109,Guy Armel Bayegnak,http://www.wikidata.org/entity/Q124959953,Cœur de lionne
Jean-Baptiste Mubalutila Mbizi,Democratic Republic of the Congo,-2.88,23.656111111111112,Canada,56,-109,Jean-Baptiste Mubalutila Mbizi,http://www.wikidata.org/entity/Q124959934,Tila ou La Persévérance d'un intellectuel africain
Hédi Bouraoui,Sfax,34.74,10.76,Canada,56,-109,Hédi Bouraoui,http://www.wikidata.org/entity/Q124959903,Le Conteur
,,,,French protectorate of Tunisia,36.8333,10.15,,,
,,,,Tunisia,34,10,,,
Vartan Hézaran,Istanbul,41.01,28.960277777778,Canada,56,-109,Vartan Hézaran,http://www.wikidata.org/entity/Q124959893,"Là-bas, dans la plaine"
David Baudemont,Thann,47.806666666667,7.1044444444444,Canada,56,-109,David Baudemont,http://www.wikidata.org/entity/Q124960120,Celui qui dormait entre les pattes du dragon
Gérard Étienne,Cap-Haïtien,19.75,-72.2,Haiti,19,-72.8,Gérard Étienne,http://www.wikidata.org/entity/Q120926134,
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124847813,La Semaine des diamants
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124847818,Le Ballon dans un cube
Brigitte Haentjens,Paris,48.85666666666667,2.352222222222222,France,47,2,Brigitte Haentjens,http://www.wikidata.org/entity/Q124956555,D'éclats de peines
Hédi Bouraoui,Sfax,34.74,10.76,Canada,56,-109,Hédi Bouraoui,http://www.wikidata.org/entity/Q124847810,La Composée
,,,,French protectorate of Tunisia,36.8333,10.15,,,
,,,,Tunisia,34,10,,,
Jean-Louis Grosmaire,Abidjan,5.3363888888889,-4.0266666666667,Canada,56,-109,Jean-Louis Grosmaire,http://www.wikidata.org/entity/Q124838121,L'Attrape-mouche
Françoise Enguehard,Saint Pierre and Miquelon,46.85,-56.3,France,47,2,Françoise Enguehard,http://www.wikidata.org/entity/Q117310130,Les Litanies de l'Île-aux-Chiens
,,,,Canada,56,-109,,,
Évelyne Voldeng,Brittany,48,-3,France,47,2,Évelyne Voldeng,http://www.wikidata.org/entity/Q124847809,Haïkus de mes cinq saisons
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124956769,L'Univers comme jardin
Alain Raimbault,Paris,48.85666666666667,2.352222222222222,France,47,2,Alain Raimbault,http://www.wikidata.org/entity/Q124956943,New York loin des mers
Éveline Caduc,Algeria,28,1,Algeria,28,1,Éveline Caduc,http://www.wikidata.org/entity/Q124956633,Un et un égale un
,,,,Canada,56,-109,,,
,,,,France,47,2,,,
