Unnamed: 0,query (5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
,http://www.wikidata.org/entity/Q665733,Harry Potter and the Deathly Hallows – Part 1,based_on,2010-11-16T00:00:00Z,http://www.wikidata.org/entity/Q9199,Vietnamese,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows
,http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,based_on,2004-06-04T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
,http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,based_on,2004-07-29T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
,http://www.wikidata.org/entity/Q161678,Harry Potter and the Deathly Hallows – Part 1,based_on,2010-11-24T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2002-11-23T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q21501482,My Immortal,based_on,2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q8337,
,http://www.wikidata.org/entity/Q726167,Harry Potter and the Chamber of Secrets,based_on,2002-11-05T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q862524,Harry Potter and the Half-Blood Prince,based_on,2009-09-11T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince
,http://www.wikidata.org/entity/Q18199330,Fantastic Beasts and Where to Find Them,based_on,2016-11-17T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q119500539,Fantastic Beasts and Where to Find Them: The Original Screenplay
,http://www.wikidata.org/entity/Q4040432,Harry Potter,based_on,2009-03-17T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q8337,
,http://www.wikidata.org/entity/Q862524,Harry Potter and the Half-Blood Prince,based_on,2009-09-11T00:00:00Z,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince
