work,workLabel,origLang,origLangLabel,author,authorLabel,translatedWork,translatedWorkLabel,transLang,transLangLabel,pubPlace,pubPlaceLabel,pubCountry,pubCountryLabel
http://www.wikidata.org/entity/Q74896635,Armand Durand: or A Promise Fulfilled,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q7367330,Rosanna Eleanor Leprohon,http://www.wikidata.org/entity/Q74896776,Q74896776,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q340,Montreal,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q3051580,Elminster – The Making of a Mage,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q266075,Ed Greenwood,http://www.wikidata.org/entity/Q3723580,Elminster: la nascita di un mago (2000),http://www.wikidata.org/entity/Q652,Italian,http://www.wikidata.org/entity/Q490,Milan,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878179,"Les Luminaires (2014, Buchet/Chastel)",http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q112689908,Q112689908,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q56612134,La Scouine,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q2831298,Albert Laberge,http://www.wikidata.org/entity/Q58006004,Bitter Bread,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q340,Montreal,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q112689498,Q112689498,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q121621945,Q121621945,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q121622985,Q121622985,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q957076,The World of Null-A,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q315059,A. E. van Vogt,http://www.wikidata.org/entity/Q120730686,Q120730686,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q2005135,The Weapon Shops of Isher,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q315059,A. E. van Vogt,http://www.wikidata.org/entity/Q120730849,Q120730849,http://www.wikidata.org/entity/Q150,French,,,,
