author,authorLabel,placeOfDeath,placeOfDeathLabel,residence,residenceLabel,work,workLabel,publicationPlace,publicationPlaceLabel,language,languageLabel
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7760302,The Resplendent Quetzal,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7731579,The Edible Woman,,,http://www.wikidata.org/entity/Q1321,es
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q18154621,Stone Mattress,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7293881,Rape Fantasies,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16203052,Good Bones and Simple Murders,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16203812,Interlunar,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7745059,The Labrador Fiasco,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7760302,The Resplendent Quetzal,,,http://www.wikidata.org/entity/Q44676,Canadian English
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q5500877,Freeforall,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q16204596,MaddAddam,,,http://www.wikidata.org/entity/Q1860,en
