work,Title,author link,Author,birthPlace link,Birth Place,Latitude,Longitude,birthCountry link,Birth Country
http://www.wikidata.org/entity/Q19493411,Q19493411,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19493757,Q19493757,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19494446,Q19494446,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19494493,Q19494493,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19494504,Q19494504,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q77329298,Caperucita Roja,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q5395092,Tala,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q19426480,Desolación,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q56432421,Sonetos de la muerte,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q56451148,Lagar,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q57516816,Lecturas para mujeres,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q58293322,Ternura,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q77332516,Q77332516,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q77332810,Q77332810,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q77333041,Q77333041,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q77333197,Q77333197,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q77333430,Q77333430,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q94977577,Elogio de las cosas de la Tierra,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q94980236,Q94980236,http://www.wikidata.org/entity/Q80871,Gabriela Mistral,http://www.wikidata.org/entity/Q201007,Vicuna,,Vicuna,http://www.wikidata.org/entity/Q298,Chile
